trace_mode,start_hour,policy,region_set,per_region_cap,total_capacity,deadline_margin_h,total_gco2,dynamic_gco2,attributed_gco2,total_kwh,dynamic_kwh,attributed_kwh,requests,vm_hours,gco2_per_vm_hour,dynamic_gco2_per_vm_hour,attributed_gco2_per_vm_hour,deadline_violations,violation_rate,mean_overrun_h,mean_deferral_h,max_region_share,peak_concurrency,hosts_per_region,peak_active_hosts,plan_ms,misplaced_vms,uncreated_vms,cloudlets_finished,placement_valid
real,0,round-robin,us,8,56,6,11718989.6404,122692.2175,1916999.0218,42486.8013,444.6530,6922.8057,1000,28129.00,416.615935,4.361770,68.150273,192,0.1920,3.086,4.410,0.1620,56,34,62,64.91,0,0,1000,true
real,0,space,us,8,56,6,11705985.1402,109466.3082,1696380.2158,42486.8013,444.6528,6922.5543,1000,28129.00,416.153619,3.891582,60.307164,192,0.1920,3.086,4.410,0.2910,56,34,62,13.92,0,0,1000,true
real,0,space+time,us,8,56,6,11705605.4558,109995.8723,1677763.5353,42486.8170,444.6529,6922.8553,1000,28129.00,416.140121,3.910408,59.645332,224,0.2240,3.928,8.872,0.2890,56,34,64,11.11,0,0,1000,true
real,0,time@BPAT,us,8,56,6,11706210.6824,110007.0712,1696482.7255,42486.8021,444.6528,6922.2531,1000,28129.00,416.161637,3.910806,60.310808,198,0.1980,3.050,5.394,0.2400,56,34,62,7.64,0,0,1000,true
real,0,round-robin,us,12,84,6,11715462.4263,118811.6508,1858538.1651,42486.8012,444.6530,6924.2168,1000,28129.00,416.490541,4.223814,66.071960,0,0.0000,0.000,0.000,0.1430,70,34,72,2.26,0,0,1000,true
real,0,space,us,12,84,6,11690981.9503,94201.7350,1511478.5486,42486.8012,444.6527,6924.2053,1000,28129.00,415.620248,3.348919,53.733817,0,0.0000,0.000,0.000,0.5270,70,34,72,4.49,0,0,1000,true
real,0,space+time,us,12,84,6,11688569.8480,92890.6404,1483930.8491,42486.8189,444.6527,6922.8742,1000,28129.00,415.534496,3.302309,52.754483,0,0.0000,0.000,4.595,0.5320,67,34,70,12.54,0,0,1000,true
real,0,time@BPAT,us,12,84,6,11690196.2478,93820.2368,1498395.5180,42486.8019,444.6526,6922.0900,1000,28129.00,415.592316,3.335356,53.268709,0,0.0000,0.000,2.687,0.5320,70,34,71,2.57,0,0,1000,true
real,0,round-robin,us,20,140,6,11715462.4263,118811.6508,1858538.1651,42486.8012,444.6530,6924.2168,1000,28129.00,416.490541,4.223814,66.071960,0,0.0000,0.000,0.000,0.1430,70,34,72,0.95,0,0,1000,true
real,0,space,us,20,140,6,11666895.8176,70114.3456,1159879.0459,42486.8011,444.6527,6924.2104,1000,28129.00,414.763974,2.492600,41.234279,0,0.0000,0.000,0.000,0.7530,70,34,72,3.73,0,0,1000,true
real,0,space+time,us,20,140,6,11664362.3873,68096.7728,1124565.7453,42486.8022,444.6528,6923.1745,1000,28129.00,414.673909,2.420874,39.978874,0,0.0000,0.000,4.358,0.7760,68,34,71,12.10,0,0,1000,true
real,0,time@BPAT,us,20,140,6,11665182.7706,68655.5098,1132795.2902,42486.8021,444.6527,6922.6262,1000,28129.00,414.703074,2.440738,40.271438,0,0.0000,0.000,3.520,0.7760,69,34,69,2.58,0,0,1000,true
real,0,round-robin,us,50,350,6,11715462.4263,118811.6508,1858538.1651,42486.8012,444.6530,6924.2168,1000,28129.00,416.490541,4.223814,66.071960,0,0.0000,0.000,0.000,0.1430,70,34,72,0.63,0,0,1000,true
real,0,space,us,50,350,6,11636377.4414,39447.5879,626600.3614,42488.5454,446.3970,6392.9055,1000,28129.00,413.679030,1.402381,22.275956,0,0.0000,0.000,0.000,0.9750,70,34,54,3.63,0,0,1000,true
real,0,space+time,us,50,350,6,11637422.9700,38683.5155,614814.2355,42488.9105,446.7614,6363.0502,1000,28129.00,413.716199,1.375218,21.856953,0,0.0000,0.000,2.984,0.9800,68,34,52,16.10,0,0,1000,true
real,0,time@BPAT,us,50,350,6,11637445.4844,38695.4065,615061.0490,42488.9105,446.7615,6363.0196,1000,28129.00,413.717000,1.375641,21.865728,0,0.0000,0.000,2.943,0.9800,69,34,53,2.21,0,0,1000,true
real,0,round-robin,us,8,56,12,11718989.6404,122692.2175,1916999.0218,42486.8013,444.6530,6922.8057,1000,28129.00,416.615935,4.361770,68.150273,140,0.1400,2.077,4.410,0.1620,56,34,62,1.38,0,0,1000,true
real,0,space,us,8,56,12,11705985.1402,109466.3082,1696380.2158,42486.8013,444.6528,6922.5543,1000,28129.00,416.153619,3.891582,60.307164,140,0.1400,2.077,4.410,0.2910,56,34,62,3.39,0,0,1000,true
real,0,space+time,us,8,56,12,11703643.4551,107689.7410,1704433.9319,42486.7999,444.6528,6921.6570,1000,28129.00,416.070371,3.828424,60.593478,185,0.1850,3.218,13.154,0.4080,56,34,66,12.01,0,0,1000,true
real,0,time@BPAT,us,8,56,12,11705840.0846,109190.5500,1719602.6496,42486.8013,444.6526,6921.4886,1000,28129.00,416.148462,3.881779,61.132733,150,0.1500,2.550,8.121,0.3720,56,34,61,1.82,0,0,1000,true
real,0,round-robin,us,12,84,12,11715462.4263,118811.6508,1858538.1651,42486.8012,444.6530,6924.2168,1000,28129.00,416.490541,4.223814,66.071960,0,0.0000,0.000,0.000,0.1430,70,34,72,0.35,0,0,1000,true
real,0,space,us,12,84,12,11690981.9503,94201.7350,1511478.5486,42486.8012,444.6527,6924.2053,1000,28129.00,415.620248,3.348919,53.733817,0,0.0000,0.000,0.000,0.5270,70,34,72,1.45,0,0,1000,true
real,0,space+time,us,12,84,12,11685513.0482,89030.3045,1460538.3237,42486.8175,444.6527,6922.3241,1000,28129.00,415.425826,3.165072,51.922867,0,0.0000,0.000,9.468,0.5810,67,34,70,15.65,0,0,1000,true
real,0,time@BPAT,us,12,84,12,11688023.9163,90432.5365,1480704.0643,42486.8015,444.6525,6921.8634,1000,28129.00,415.515088,3.214922,52.639769,0,0.0000,0.000,6.216,0.5810,68,34,69,1.40,0,0,1000,true
real,0,round-robin,us,20,140,12,11715462.4263,118811.6508,1858538.1651,42486.8012,444.6530,6924.2168,1000,28129.00,416.490541,4.223814,66.071960,0,0.0000,0.000,0.000,0.1430,70,34,72,0.35,0,0,1000,true
real,0,space,us,20,140,12,11666895.8176,70114.3456,1159879.0459,42486.8011,444.6527,6924.2104,1000,28129.00,414.763974,2.492600,41.234279,0,0.0000,0.000,0.000,0.7530,70,34,72,1.82,0,0,1000,true
real,0,space+time,us,20,140,12,11664968.3706,67436.1532,1112090.6306,42486.8026,444.6527,6922.5290,1000,28129.00,414.695452,2.397389,39.535377,0,0.0000,0.000,8.970,0.8100,68,34,71,24.52,0,0,1000,true
real,0,time@BPAT,us,20,140,12,11666358.0169,68186.4183,1120155.6143,42486.8026,444.6527,6922.2020,1000,28129.00,414.744855,2.424061,39.822092,0,0.0000,0.000,7.830,0.8100,68,34,69,1.71,0,0,1000,true
real,0,round-robin,us,50,350,12,11715462.4263,118811.6508,1858538.1651,42486.8012,444.6530,6924.2168,1000,28129.00,416.490541,4.223814,66.071960,0,0.0000,0.000,0.000,0.1430,70,34,72,0.22,0,0,1000,true
real,0,space,us,50,350,12,11636377.4414,39447.5879,626600.3614,42488.5454,446.3970,6392.9055,1000,28129.00,413.679030,1.402381,22.275956,0,0.0000,0.000,0.000,0.9750,70,34,54,1.99,0,0,1000,true
real,0,space+time,us,50,350,12,11637145.1984,38255.0145,578272.2304,42489.3755,447.2259,6174.9594,1000,28129.00,413.706324,1.359985,20.557867,0,0.0000,0.000,6.508,0.9730,65,34,50,22.87,0,0,1000,true
real,0,time@BPAT,us,50,350,12,11637294.7876,38305.2264,578867.3520,42489.3756,447.2259,6174.9782,1000,28129.00,413.711642,1.361770,20.579024,0,0.0000,0.000,6.380,0.9730,66,34,51,2.80,0,0,1000,true
real,0,round-robin,us,8,56,24,11718989.6404,122692.2175,1916999.0218,42486.8013,444.6530,6922.8057,1000,28129.00,416.615935,4.361770,68.150273,101,0.1010,0.620,4.410,0.1620,56,34,62,1.14,0,0,1000,true
real,0,space,us,8,56,24,11705985.1402,109466.3082,1696380.2158,42486.8013,444.6528,6922.5543,1000,28129.00,416.153619,3.891582,60.307164,101,0.1010,0.620,4.410,0.2910,56,34,62,1.73,0,0,1000,true
real,0,space+time,us,8,56,24,11701309.8901,105605.0235,1695878.4922,42486.8282,444.6529,6922.1361,1000,28129.00,415.987411,3.754311,60.289327,113,0.1130,1.503,21.151,0.4850,56,34,62,19.49,0,0,1000,true
real,0,time@BPAT,us,8,56,24,11703782.0210,107095.1635,1722236.1016,42486.8029,444.6527,6921.4777,1000,28129.00,416.075297,3.807287,61.226354,106,0.1060,1.131,13.700,0.4910,56,34,61,1.89,0,0,1000,true
real,0,round-robin,us,12,84,24,11715462.4263,118811.6508,1858538.1651,42486.8012,444.6530,6924.2168,1000,28129.00,416.490541,4.223814,66.071960,0,0.0000,0.000,0.000,0.1430,70,34,72,0.19,0,0,1000,true
real,0,space,us,12,84,24,11690981.9503,94201.7350,1511478.5486,42486.8012,444.6527,6924.2053,1000,28129.00,415.620248,3.348919,53.733817,0,0.0000,0.000,0.000,0.5270,70,34,72,1.46,0,0,1000,true
real,0,space+time,us,12,84,24,11683087.8908,87057.4103,1426194.0882,42486.8212,444.6528,6921.7076,1000,28129.00,415.339610,3.094934,50.701912,0,0.0000,0.000,18.409,0.6030,69,34,71,30.70,0,0,1000,true
real,0,time@BPAT,us,12,84,24,11685861.2491,88656.7075,1453618.1322,42486.8028,444.6526,6922.0758,1000,28129.00,415.438204,3.151790,51.676851,0,0.0000,0.000,12.435,0.6030,66,34,66,2.38,0,0,1000,true
real,0,round-robin,us,20,140,24,11715462.4263,118811.6508,1858538.1651,42486.8012,444.6530,6924.2168,1000,28129.00,416.490541,4.223814,66.071960,0,0.0000,0.000,0.000,0.1430,70,34,72,0.19,0,0,1000,true
real,0,space,us,20,140,24,11666895.8176,70114.3456,1159879.0459,42486.8011,444.6527,6924.2104,1000,28129.00,414.763974,2.492600,41.234279,0,0.0000,0.000,0.000,0.7530,70,34,72,1.63,0,0,1000,true
real,0,space+time,us,20,140,24,11661775.1230,64595.3857,1076849.7516,42486.8043,444.6529,6922.9182,1000,28129.00,414.581930,2.296398,38.282547,0,0.0000,0.000,17.939,0.7840,67,34,68,45.76,0,0,1000,true
real,0,time@BPAT,us,20,140,24,11663581.7813,65852.6198,1097761.6738,42486.8042,444.6527,6922.7875,1000,28129.00,414.646158,2.341094,39.025976,0,0.0000,0.000,15.764,0.7840,65,34,68,2.03,0,0,1000,true
real,0,round-robin,us,50,350,24,11715462.4263,118811.6508,1858538.1651,42486.8012,444.6530,6924.2168,1000,28129.00,416.490541,4.223814,66.071960,0,0.0000,0.000,0.000,0.1430,70,34,72,0.19,0,0,1000,true
