trace_mode,start_hour,policy,region_set,per_region_cap,total_capacity,deadline_margin_h,total_gco2,dynamic_gco2,attributed_gco2,total_kwh,dynamic_kwh,attributed_kwh,requests,vm_hours,gco2_per_vm_hour,dynamic_gco2_per_vm_hour,attributed_gco2_per_vm_hour,deadline_violations,violation_rate,mean_overrun_h,mean_deferral_h,max_region_share,peak_concurrency,hosts_per_region,peak_active_hosts,plan_ms,misplaced_vms,uncreated_vms,cloudlets_finished,placement_valid
real,4320,round-robin,us,12,84,6,13295381.4657,173070.5587,2491365.0484,42576.8464,534.6610,7792.7656,1000,31514.00,421.888096,5.491863,79.055818,0,0.0000,0.000,0.000,0.1440,64,34,66,42.65,0,0,1000,true
real,4320,space,us,12,84,6,13244585.5468,122561.9617,1917324.3762,42576.8333,534.6606,7792.3678,1000,31514.00,420.276244,3.889127,60.840400,0,0.0000,0.000,0.000,0.4830,64,34,66,9.38,0,0,1000,true
real,4320,space+time,us,12,84,6,13238306.2042,117868.2899,1880876.5071,42576.8345,534.6608,7791.4283,1000,31514.00,420.076988,3.740188,59.683839,0,0.0000,0.000,4.272,0.5650,62,34,65,12.21,0,0,1000,true
real,4320,time@BPAT,us,12,84,6,13240533.3961,119002.7111,1896907.2198,42576.8090,534.6607,7790.7988,1000,31514.00,420.147661,3.776186,60.192525,0,0.0000,0.000,2.797,0.5650,64,34,65,6.37,0,0,1000,true
real,4320,time@CISO,us,12,84,6,13252192.8528,130822.3326,1945095.1237,42576.8122,534.6606,7790.9778,1000,31514.00,420.517638,4.151245,61.721620,0,0.0000,0.000,2.716,0.5410,63,34,64,2.06,0,0,1000,true
real,4320,time@ERCO,us,12,84,6,13261415.6648,140746.5206,2062863.4880,42576.8088,534.6606,7790.8476,1000,31514.00,420.810296,4.466159,65.458637,0,0.0000,0.000,2.744,0.5510,64,34,65,2.75,0,0,1000,true
real,4320,time@ISNE,us,12,84,6,13262964.4097,141963.8191,2040316.2100,42576.8102,534.6607,7791.4503,1000,31514.00,420.859441,4.504786,64.743168,0,0.0000,0.000,2.626,0.5340,64,34,65,2.15,0,0,1000,true
real,4320,time@NYISO,us,12,84,6,13257850.7580,136533.9305,1983601.4769,42576.8110,534.6607,7790.6407,1000,31514.00,420.697175,4.332485,62.943501,0,0.0000,0.000,2.737,0.5590,64,34,65,1.88,0,0,1000,true
real,4320,time@PJM,us,12,84,6,13271022.2582,150222.5651,2108106.3104,42576.8394,534.6607,7790.4037,1000,31514.00,421.115132,4.766852,66.894279,0,0.0000,0.000,2.686,0.5600,64,34,65,1.80,0,0,1000,true
real,4320,time@FPL,us,12,84,6,13272194.0076,151301.6086,2108505.8336,42576.8104,534.6606,7790.6228,1000,31514.00,421.152313,4.801092,66.906957,0,0.0000,0.000,2.442,0.5040,64,34,65,1.84,0,0,1000,true
real,4320,round-robin,us,50,350,6,13294661.5069,172406.8032,2485637.2332,42576.8454,534.6610,7792.8181,1000,31514.00,421.865251,5.470800,78.874063,0,0.0000,0.000,0.000,0.1430,64,34,66,0.73,0,0,1000,true
real,4320,space,us,50,350,6,13161474.6459,39289.7267,545664.6747,42580.3240,538.1206,6757.8697,1000,31514.00,417.638975,1.246739,17.314993,0,0.0000,0.000,0.000,0.9610,64,34,48,2.93,0,0,1000,true
real,4320,space+time,us,50,350,6,17206559.0621,36847.7584,523114.7881,54402.4887,537.4148,6643.6865,1000,31514.00,545.997305,1.169250,16.599441,0,0.0000,0.000,3.210,0.9780,63,34,47,17.83,0,0,999,false
real,4320,time@BPAT,us,50,350,6,17206587.9938,36885.5961,523944.7631,54402.4887,537.4148,6643.5226,1000,31514.00,545.998223,1.170451,16.625778,0,0.0000,0.000,3.149,0.9780,63,34,47,3.69,0,0,999,false
real,4320,time@CISO,us,50,350,6,13241758.6234,121551.4603,1425062.9584,42582.1078,539.9062,6303.4139,1000,31514.00,420.186540,3.857062,45.219996,0,0.0000,0.000,2.965,0.9570,63,34,47,2.02,0,0,1000,true
real,4320,time@ERCO,us,50,350,6,13306076.6964,185933.2507,2168917.5617,42581.3606,539.2124,6555.4428,1000,31514.00,422.227477,5.900021,68.823937,0,0.0000,0.000,3.413,0.9730,64,34,48,3.29,0,0,1000,true
real,4320,time@ISNE,us,50,350,6,13282968.3835,162830.9479,1921118.0877,42581.1981,539.0498,6606.0949,1000,31514.00,421.494205,5.166940,60.960782,0,0.0000,0.000,3.558,0.9670,63,34,48,3.25,0,0,1000,true
real,4320,time@NYISO,us,50,350,6,13259716.5564,138919.4356,1650332.8243,42580.9358,538.7876,6630.9292,1000,31514.00,420.756380,4.408182,52.368243,0,0.0000,0.000,3.457,0.9700,63,34,48,3.50,0,0,1000,true
real,4320,time@PJM,us,50,350,6,13313460.0874,192852.0590,2268178.0804,42580.8671,538.6906,6612.0257,1000,31514.00,422.461766,6.119568,71.973665,0,0.0000,0.000,3.329,0.9710,64,34,48,1.84,0,0,1000,true
real,4320,time@FPL,us,50,350,6,13316250.6316,196978.6552,2278870.0754,42581.4277,539.2491,6530.2714,1000,31514.00,422.550315,6.250513,72.312943,0,0.0000,0.000,3.179,0.9750,63,34,47,2.05,0,0,1000,true
real,4320,round-robin,us,12,84,48,13295381.4657,173070.5587,2491365.0484,42576.8464,534.6610,7792.7656,1000,31514.00,421.888096,5.491863,79.055818,0,0.0000,0.000,0.000,0.1440,64,34,66,0.30,0,0,1000,true
real,4320,space,us,12,84,48,13244585.5468,122561.9617,1917324.3762,42576.8333,534.6606,7792.3678,1000,31514.00,420.276244,3.889127,60.840400,0,0.0000,0.000,0.000,0.4830,64,34,66,2.40,0,0,1000,true
real,4320,space+time,us,12,84,48,13241275.2920,120147.8544,1842631.3726,42576.8643,534.6608,7790.2530,1000,31514.00,420.171203,3.812523,58.470247,0,0.0000,0.000,37.709,0.5390,59,34,61,58.20,0,0,1000,true
real,4320,time@BPAT,us,12,84,48,13244931.5444,123001.1866,1888364.5155,42576.8128,534.6606,7789.9266,1000,31514.00,420.287223,3.903065,59.921448,0,0.0000,0.000,23.350,0.5390,63,34,65,2.21,0,0,1000,true
real,4320,time@CISO,us,12,84,48,13252364.9173,130142.4145,1890892.4048,42576.8124,534.6607,7790.4589,1000,31514.00,420.523098,4.129670,60.001663,0,0.0000,0.000,22.853,0.5270,63,34,64,3.80,0,0,1000,true
real,4320,time@ERCO,us,12,84,48,13263528.1633,141149.0196,2003042.3793,42576.8180,534.6607,7789.7720,1000,31514.00,420.877330,4.478931,63.560398,0,0.0000,0.000,20.902,0.4780,62,34,65,2.79,0,0,1000,true
real,4320,time@ISNE,us,12,84,48,13253785.6642,131910.2226,1943509.2373,42576.8109,534.6607,7790.0908,1000,31514.00,420.568181,4.185766,61.671296,0,0.0000,0.000,23.457,0.5340,63,34,65,2.49,0,0,1000,true
real,4320,time@NYISO,us,12,84,48,13254524.4748,132367.7187,1932540.0857,42576.8091,534.6607,7790.5115,1000,31514.00,420.591625,4.200283,61.323224,0,0.0000,0.000,22.138,0.5150,62,34,64,3.04,0,0,1000,true
real,4320,time@PJM,us,12,84,48,13267667.0326,145601.2862,2032907.9054,42576.8094,534.6608,7790.2942,1000,31514.00,421.008664,4.620210,64.508089,0,0.0000,0.000,24.201,0.5630,62,34,66,2.70,0,0,1000,true
real,4320,time@FPL,us,12,84,48,13264014.6314,141859.6277,2026791.0396,42576.8109,534.6607,7789.9007,1000,31514.00,420.892766,4.501480,64.313989,0,0.0000,0.000,22.831,0.5300,62,34,65,2.57,0,0,1000,true
real,4320,round-robin,us,50,350,48,13294661.5069,172406.8032,2485637.2332,42576.8454,534.6610,7792.8181,1000,31514.00,421.865251,5.470800,78.874063,0,0.0000,0.000,0.000,0.1430,64,34,66,0.26,0,0,1000,true
real,4320,space,us,50,350,48,13161474.6459,39289.7267,545664.6747,42580.3240,538.1206,6757.8697,1000,31514.00,417.638975,1.246739,17.314993,0,0.0000,0.000,0.000,0.9610,64,34,48,2.17,0,0,1000,true
real,4320,space+time,us,50,350,48,21329313.4167,35007.3664,442375.5535,66447.8740,540.0002,6375.9580,1000,31514.00,676.820252,1.110851,14.037430,0,0.0000,0.000,30.259,0.9790,60,34,44,87.95,0,0,999,false
real,4320,time@BPAT,us,50,350,48,21329488.8035,35156.0241,444160.5321,66447.8741,540.0002,6376.0799,1000,31514.00,676.825817,1.115568,14.094070,0,0.0000,0.000,30.037,0.9790,62,34,46,8.07,0,0,999,false
real,4320,time@CISO,us,50,350,48,22019008.2810,127061.7481,1455231.8167,68204.3870,541.1838,6119.3899,1000,31514.00,698.705600,4.031914,46.177312,0,0.0000,0.000,34.213,0.9780,58,34,42,6.73,0,0,999,false
real,4320,time@ERCO,us,50,350,48,13326206.7507,205276.4135,2223333.3780,42583.7464,541.5948,5909.6107,1000,31514.00,422.866242,6.513817,70.550656,0,0.0000,0.000,32.617,0.9940,54,34,38,6.67,0,0,1000,true
real,4320,time@ISNE,us,50,350,48,13298812.9818,177891.7041,1967511.8340,42583.5632,541.4143,6017.8306,1000,31514.00,421.996985,5.644847,62.432945,0,0.0000,0.000,34.230,0.9820,56,34,41,12.27,0,0,1000,true
real,4320,time@NYISO,us,50,350,48,13275074.1192,154049.2275,1693912.0513,42583.8812,541.7296,6017.3219,1000,31514.00,421.243705,4.888279,53.751096,0,0.0000,0.000,34.221,0.9850,55,34,39,11.89,0,0,1000,true
