trace_mode,start_hour,policy,region_set,per_region_cap,total_capacity,deadline_margin_h,total_gco2,dynamic_gco2,attributed_gco2,total_kwh,dynamic_kwh,attributed_kwh,requests,vm_hours,gco2_per_vm_hour,dynamic_gco2_per_vm_hour,attributed_gco2_per_vm_hour,deadline_violations,violation_rate,mean_overrun_h,mean_deferral_h,max_region_share,peak_concurrency,hosts_per_region,peak_active_hosts,plan_ms,misplaced_vms,uncreated_vms,cloudlets_finished,placement_valid
real,0,round-robin,eu,11,55,6,14346468.3404,177447.4492,2642986.2749,42930.1465,534.6611,7791.4809,1000,31514.00,455.241110,5.630750,83.867052,56,0.0560,0.152,1.056,0.2190,55,48,62,33.66,0,0,1000,true
real,0,space,eu,11,55,6,14329782.4876,160727.3548,2434740.0567,42930.1428,534.6606,7791.2611,1000,31514.00,454.711636,5.100189,77.258998,56,0.0560,0.152,1.056,0.4540,55,48,62,4.14,0,0,1000,true
real,0,space+time,eu,11,55,6,14321334.1989,152902.9248,2374469.9218,42930.1555,534.6609,7789.9150,1000,31514.00,454.443555,4.851905,75.346510,167,0.1670,0.561,5.395,0.4220,55,48,61,7.78,0,0,1000,true
real,0,time@SE,eu,11,55,6,14323729.7720,154918.4401,2397481.5052,42930.1448,534.6608,7790.2277,1000,31514.00,454.519571,4.915861,76.076712,106,0.1060,0.366,3.319,0.4580,55,48,61,2.49,0,0,1000,true
real,0,round-robin,eu,17,85,6,14347616.5882,178618.0154,2714779.0153,42930.1446,534.6609,7792.7985,1000,31514.00,455.277546,5.667894,86.145174,0,0.0000,0.000,0.000,0.2030,64,48,66,0.75,0,0,1000,true
real,0,space,eu,17,85,6,14267373.9060,98528.2589,1589646.0984,42930.1313,534.6607,7792.4372,1000,31514.00,452.731291,3.126492,50.442537,0,0.0000,0.000,0.000,0.6220,64,48,66,1.80,0,0,1000,true
real,0,space+time,eu,17,85,6,14261825.7808,93428.8870,1450527.9714,42930.1292,534.6608,7791.0866,1000,31514.00,452.555238,2.964679,46.028050,0,0.0000,0.000,4.206,0.6380,66,48,67,10.17,0,0,1000,true
real,0,time@SE,eu,17,85,6,14263639.6987,94562.2527,1488025.3322,42930.1075,534.6606,7790.6203,1000,31514.00,452.612797,3.000643,47.217914,0,0.0000,0.000,2.975,0.6380,63,48,64,1.57,0,0,1000,true
real,0,round-robin,eu,28,140,6,14349297.8864,180296.7253,2732364.7559,42930.1453,534.6609,7792.9435,1000,31514.00,455.330897,5.721163,86.703204,0,0.0000,0.000,0.000,0.2000,64,48,66,0.78,0,0,1000,true
real,0,space,eu,28,140,6,14223928.4341,55057.9643,853348.5908,42930.1341,534.6607,7792.7116,1000,31514.00,451.352682,1.747095,27.078397,0,0.0000,0.000,0.000,0.8260,64,48,66,1.73,0,0,1000,true
real,0,space+time,eu,28,140,6,14220339.8371,51337.4928,796314.0756,42930.1331,534.6609,7791.7312,1000,31514.00,451.238809,1.629038,25.268581,0,0.0000,0.000,3.837,0.8370,64,48,67,9.32,0,0,1000,true
real,0,time@SE,eu,28,140,6,14220691.2280,51666.8610,800871.1169,42930.1078,534.6609,7791.4158,1000,31514.00,451.249960,1.639489,25.413185,0,0.0000,0.000,3.376,0.8370,62,48,64,1.77,0,0,1000,true
real,0,round-robin,eu,70,350,6,14349297.8864,180296.7253,2732364.7559,42930.1453,534.6609,7792.9435,1000,31514.00,455.330897,5.721163,86.703204,0,0.0000,0.000,0.000,0.2000,64,48,66,0.49,0,0,1000,true
real,0,space,eu,70,350,6,14189509.4771,20561.5186,273296.6564,42932.5365,537.0357,7114.7489,1000,31514.00,450.260503,0.652457,8.672230,0,0.0000,0.000,0.000,1.0000,64,48,48,1.90,0,0,1000,true
real,0,space+time,eu,70,350,6,14189837.4573,20548.4357,265942.5297,42933.1928,537.7474,6933.3589,1000,31514.00,450.270910,0.652041,8.438869,0,0.0000,0.000,2.550,1.0000,69,48,48,10.11,0,0,1000,true
real,0,time@SE,eu,70,350,6,14189837.4573,20548.4357,265942.5297,42933.1928,537.7474,6933.3589,1000,31514.00,450.270910,0.652041,8.438869,0,0.0000,0.000,2.550,1.0000,69,48,48,2.38,0,0,1000,true
real,0,round-robin,eu,11,55,12,14346468.3404,177447.4492,2642986.2749,42930.1465,534.6611,7791.4809,1000,31514.00,455.241110,5.630750,83.867052,1,0.0010,0.003,1.056,0.2190,55,48,62,0.62,0,0,1000,true
real,0,space,eu,11,55,12,14329782.4876,160727.3548,2434740.0567,42930.1428,534.6606,7791.2611,1000,31514.00,454.711636,5.100189,77.258998,1,0.0010,0.003,1.056,0.4540,55,48,62,1.72,0,0,1000,true
real,0,space+time,eu,11,55,12,14328933.9407,160314.4513,2344150.0077,42930.1308,534.6608,7789.9915,1000,31514.00,454.684710,5.087087,74.384401,78,0.0780,0.197,9.853,0.4580,55,48,60,8.62,0,0,1000,true
real,0,time@SE,eu,11,55,12,14337825.3412,168608.1365,2404933.6142,42930.1445,534.6606,7790.0319,1000,31514.00,454.966851,5.350261,76.313182,54,0.0540,0.144,5.970,0.4540,55,48,60,1.92,0,0,1000,true
real,0,round-robin,eu,17,85,12,14347616.5882,178618.0154,2714779.0153,42930.1446,534.6609,7792.7985,1000,31514.00,455.277546,5.667894,86.145174,0,0.0000,0.000,0.000,0.2030,64,48,66,0.27,0,0,1000,true
real,0,space,eu,17,85,12,14267373.9060,98528.2589,1589646.0984,42930.1313,534.6607,7792.4372,1000,31514.00,452.731291,3.126492,50.442537,0,0.0000,0.000,0.000,0.6220,64,48,66,1.26,0,0,1000,true
real,0,space+time,eu,17,85,12,14259898.6417,91149.6778,1427170.0045,42930.1305,534.6608,7790.2753,1000,31514.00,452.494086,2.892355,45.286857,0,0.0000,0.000,8.907,0.6640,64,48,66,13.57,0,0,1000,true
real,0,time@SE,eu,17,85,12,14260708.4838,91548.6598,1462825.0277,42930.1061,534.6608,7790.0607,1000,31514.00,452.519784,2.905016,46.418259,0,0.0000,0.000,6.659,0.6640,63,48,66,1.59,0,0,1000,true
real,0,round-robin,eu,28,140,12,14349297.8864,180296.7253,2732364.7559,42930.1453,534.6609,7792.9435,1000,31514.00,455.330897,5.721163,86.703204,0,0.0000,0.000,0.000,0.2000,64,48,66,0.20,0,0,1000,true
real,0,space,eu,28,140,12,14223928.4341,55057.9643,853348.5908,42930.1341,534.6607,7792.7116,1000,31514.00,451.352682,1.747095,27.078397,0,0.0000,0.000,0.000,0.8260,64,48,66,2.10,0,0,1000,true
real,0,space+time,eu,28,140,12,14219325.2852,49956.7427,779669.4962,42930.1289,534.6608,7791.5114,1000,31514.00,451.206616,1.585224,24.740417,0,0.0000,0.000,8.619,0.8420,61,48,66,17.36,0,0,1000,true
real,0,time@SE,eu,28,140,12,14220509.7007,51229.7693,790729.8806,42930.1061,534.6608,7791.3238,1000,31514.00,451.244199,1.625619,25.091384,0,0.0000,0.000,7.702,0.8420,63,48,66,1.93,0,0,1000,true
real,0,round-robin,eu,70,350,12,14349297.8864,180296.7253,2732364.7559,42930.1453,534.6609,7792.9435,1000,31514.00,455.330897,5.721163,86.703204,0,0.0000,0.000,0.000,0.2000,64,48,66,0.19,0,0,1000,true
real,0,space,eu,70,350,12,14189509.4771,20561.5186,273296.6564,42932.5365,537.0357,7114.7489,1000,31514.00,450.260503,0.652457,8.672230,0,0.0000,0.000,0.000,1.0000,64,48,48,1.58,0,0,1000,true
real,0,space+time,eu,70,350,12,14190119.5735,20531.2760,263661.8153,42933.4519,538.0067,6877.7456,1000,31514.00,450.279862,0.651497,8.366498,0,0.0000,0.000,5.129,1.0000,70,48,48,17.89,0,0,1000,true
real,0,time@SE,eu,70,350,12,14190119.5735,20531.2760,263661.8153,42933.4519,538.0067,6877.7456,1000,31514.00,450.279862,0.651497,8.366498,0,0.0000,0.000,5.129,1.0000,70,48,48,3.53,0,0,1000,true
real,0,round-robin,eu,11,55,24,14346468.3404,177447.4492,2642986.2749,42930.1465,534.6611,7791.4809,1000,31514.00,455.241110,5.630750,83.867052,1,0.0010,0.003,1.056,0.2190,55,48,62,0.63,0,0,1000,true
real,0,space,eu,11,55,24,14329782.4876,160727.3548,2434740.0567,42930.1428,534.6606,7791.2611,1000,31514.00,454.711636,5.100189,77.258998,1,0.0010,0.003,1.056,0.4540,55,48,62,0.99,0,0,1000,true
real,0,space+time,eu,11,55,24,14318925.9186,150944.7074,2389565.6298,42930.1303,534.6607,7790.3774,1000,31514.00,454.367136,4.789767,75.825526,16,0.0160,0.033,19.877,0.5420,55,48,60,13.36,0,0,1000,true
real,0,time@SE,eu,11,55,24,14326636.4510,157710.7869,2443118.7838,42930.1443,534.6606,7789.2601,1000,31514.00,454.611806,5.004467,77.524871,3,0.0030,0.005,12.869,0.5600,55,48,60,1.30,0,0,1000,true
real,0,round-robin,eu,17,85,24,14347616.5882,178618.0154,2714779.0153,42930.1446,534.6609,7792.7985,1000,31514.00,455.277546,5.667894,86.145174,0,0.0000,0.000,0.000,0.2030,64,48,66,0.18,0,0,1000,true
real,0,space,eu,17,85,24,14267373.9060,98528.2589,1589646.0984,42930.1313,534.6607,7792.4372,1000,31514.00,452.731291,3.126492,50.442537,0,0.0000,0.000,0.000,0.6220,64,48,66,1.83,0,0,1000,true
real,0,space+time,eu,17,85,24,14259181.3537,90570.3170,1487446.3277,42930.1483,534.6608,7791.5212,1000,31514.00,452.471326,2.873971,47.199541,0,0.0000,0.000,19.191,0.7020,60,48,63,25.77,0,0,1000,true
real,0,time@SE,eu,17,85,24,14263283.8394,94617.6347,1539130.9186,42930.1064,534.6607,7790.3433,1000,31514.00,452.601505,3.002400,48.839593,0,0.0000,0.000,14.956,0.7020,63,48,64,1.82,0,0,1000,true
real,0,round-robin,eu,28,140,24,14349297.8864,180296.7253,2732364.7559,42930.1453,534.6609,7792.9435,1000,31514.00,455.330897,5.721163,86.703204,0,0.0000,0.000,0.000,0.2000,64,48,66,0.20,0,0,1000,true
