trace_mode,start_hour,policy,region_set,per_region_cap,total_capacity,deadline_margin_h,total_gco2,dynamic_gco2,attributed_gco2,total_kwh,dynamic_kwh,attributed_kwh,requests,vm_hours,gco2_per_vm_hour,dynamic_gco2_per_vm_hour,attributed_gco2_per_vm_hour,deadline_violations,violation_rate,mean_overrun_h,mean_deferral_h,max_region_share,peak_concurrency,hosts_per_region,peak_active_hosts,plan_ms,misplaced_vms,uncreated_vms,cloudlets_finished,placement_valid
real,0,round-robin,us,8,56,6,11733211.6618,136767.2720,2153805.2050,42544.5406,502.3217,7809.4902,1000,31737.00,369.701347,4.309395,67.864171,410,0.4100,12.366,15.041,0.1830,56,34,64,40.02,0,0,1000,true
real,0,space,us,8,56,6,11728706.5276,132138.7194,2016731.7709,42544.5360,502.3214,7808.9878,1000,31737.00,369.559395,4.163554,63.545129,410,0.4100,12.366,15.041,0.2840,56,34,64,8.70,0,0,1000,true
real,0,space+time,us,8,56,6,11726816.7842,131685.6266,2000605.0616,42544.5426,502.3215,7808.5997,1000,31737.00,369.499851,4.149278,63.036993,438,0.4380,13.545,18.762,0.2470,56,34,63,9.32,0,0,1000,true
real,0,time@BPAT,us,8,56,6,11725630.9538,128754.1390,2011581.4406,42544.5360,502.3214,7808.6972,1000,31737.00,369.462487,4.056910,63.382848,409,0.4090,12.291,15.670,0.3000,56,34,63,3.91,0,0,1000,true
real,0,round-robin,us,12,84,6,11735704.8708,138393.5708,2118884.5120,42544.4700,502.3216,7811.4817,1000,31737.00,369.779906,4.360638,66.763856,0,0.0000,0.000,0.000,0.1450,78,34,79,0.78,0,0,1000,true
real,0,space,us,12,84,6,11712119.8442,114828.9978,1826879.5556,42544.4694,502.3211,7810.9950,1000,31737.00,369.036766,3.618143,57.563083,0,0.0000,0.000,0.000,0.6120,78,34,79,2.35,0,0,1000,true
real,0,space+time,us,12,84,6,11706303.6093,111235.9336,1764827.4220,42544.4842,502.3213,7810.6960,1000,31737.00,368.853503,3.504929,55.607884,0,0.0000,0.000,4.461,0.6090,78,34,80,11.00,0,0,1000,true
real,0,time@BPAT,us,12,84,6,11710348.5364,113604.4524,1803331.1848,42544.4840,502.3210,7809.4142,1000,31737.00,368.980954,3.579559,56.821098,0,0.0000,0.000,3.048,0.6090,78,34,78,1.85,0,0,1000,true
real,0,round-robin,us,20,140,6,11730856.4997,133486.7323,2054820.6072,42544.4700,502.3216,7811.5668,1000,31737.00,369.627139,4.206029,64.745269,0,0.0000,0.000,0.000,0.1430,78,34,79,0.54,0,0,1000,true
real,0,space,us,20,140,6,11686947.2334,89856.6942,1430861.7771,42544.4700,502.3211,7811.1415,1000,31737.00,368.243603,2.831291,45.084973,0,0.0000,0.000,0.000,0.7810,78,34,79,3.42,0,0,1000,true
