trace_mode,start_hour,policy,region_set,per_region_cap,total_capacity,deadline_margin_h,total_gco2,dynamic_gco2,attributed_gco2,total_kwh,dynamic_kwh,attributed_kwh,requests,vm_hours,gco2_per_vm_hour,dynamic_gco2_per_vm_hour,attributed_gco2_per_vm_hour,deadline_violations,violation_rate,mean_overrun_h,mean_deferral_h,max_region_share,peak_concurrency,hosts_per_region,peak_active_hosts,plan_ms,misplaced_vms,uncreated_vms,cloudlets_finished,placement_valid
real,4320,round-robin,us,12,84,6,13254626.5567,132822.3176,2050378.2404,42486.8012,444.6530,6924.2168,1000,28129.00,471.208595,4.721900,72.891971,0,0.0000,0.000,0.000,0.1430,70,34,72,42.05,0,0,1000,true
real,4320,space,us,12,84,6,13223792.7412,101958.8599,1666733.3982,42486.8011,444.6526,6924.1983,1000,28129.00,470.112437,3.624688,59.253205,0,0.0000,0.000,0.000,0.5270,70,34,72,8.96,0,0,1000,true
real,4320,space+time,us,12,84,6,13220586.7131,100345.3052,1638218.1755,42486.8187,444.6527,6923.2741,1000,28129.00,469.998461,3.567326,58.239474,0,0.0000,0.000,4.405,0.5640,67,34,71,19.82,0,0,1000,true
real,4320,time@BPAT,us,12,84,6,13221297.5051,100125.8883,1649632.2626,42486.8010,444.6526,6922.3038,1000,28129.00,470.023730,3.559525,58.645251,0,0.0000,0.000,2.807,0.5640,68,34,71,8.82,0,0,1000,true
real,4320,time@CISO,us,12,84,6,13227922.9510,106879.3065,1695097.4243,42486.8026,444.6527,6921.8769,1000,28129.00,470.259268,3.799613,60.261560,0,0.0000,0.000,2.723,0.5350,68,34,69,3.01,0,0,1000,true
real,4320,time@ERCO,us,12,84,6,13240308.1449,119375.9541,1876100.4195,42486.8010,444.6526,6922.4271,1000,28129.00,470.699568,4.243875,66.696307,0,0.0000,0.000,2.794,0.5670,69,34,71,5.16,0,0,1000,true
real,4320,time@ISNE,us,12,84,6,13237128.9309,115925.0150,1818778.0868,42486.8010,444.6526,6921.8790,1000,28129.00,470.586545,4.121192,64.658469,0,0.0000,0.000,2.822,0.5710,69,34,71,31.91,0,0,1000,true
real,4320,time@NYISO,us,12,84,6,13230928.5264,109957.8390,1741011.9302,42486.8010,444.6526,6922.0471,1000,28129.00,470.366118,3.909056,61.893844,0,0.0000,0.000,2.633,0.5510,69,34,72,3.64,0,0,1000,true
real,4320,time@PJM,us,12,84,6,13238966.3277,118037.5841,1891210.8274,42486.8161,444.6526,6921.7301,1000,28129.00,470.651866,4.196295,67.233490,0,0.0000,0.000,2.742,0.5630,69,34,71,3.16,0,0,1000,true
real,4320,time@FPL,us,12,84,6,13241981.5552,121222.3093,1899052.1223,42486.8176,444.6526,6921.7847,1000,28129.00,470.759058,4.309514,67.512251,0,0.0000,0.000,2.825,0.5770,69,34,72,6.14,0,0,1000,true
