trace_mode,start_hour,policy,region_set,per_region_cap,total_capacity,deadline_margin_h,total_gco2,dynamic_gco2,attributed_gco2,total_kwh,dynamic_kwh,attributed_kwh,requests,vm_hours,gco2_per_vm_hour,dynamic_gco2_per_vm_hour,attributed_gco2_per_vm_hour,deadline_violations,violation_rate,mean_overrun_h,mean_deferral_h,max_region_share,peak_concurrency,hosts_per_region,peak_active_hosts,plan_ms,misplaced_vms,uncreated_vms,cloudlets_finished,placement_valid
real,0,round-robin,us,12,84,6,11750995.5036,153850.7814,2228759.1583,42576.8464,534.6610,7792.7656,1000,31514.00,372.881751,4.881982,70.722827,0,0.0000,0.000,0.000,0.1440,64,34,66,30.13,0,0,1000,true
real,0,space,us,12,84,6,11710298.5333,113173.2506,1745952.0370,42576.8409,534.6607,7792.3520,1000,31514.00,371.590358,3.591206,55.402425,0,0.0000,0.000,0.000,0.4830,64,34,66,8.50,0,0,1000,true
real,0,space+time,us,12,84,6,11706588.1476,111465.2292,1709094.9475,42576.8420,534.6607,7791.3115,1000,31514.00,371.472620,3.537007,54.232879,0,0.0000,0.000,4.477,0.5230,63,34,66,23.46,0,0,1000,true
real,0,time@BPAT,us,12,84,6,11709651.6105,113059.5133,1731299.3198,42576.8102,534.6607,7791.0019,1000,31514.00,371.569830,3.587596,54.937467,0,0.0000,0.000,2.631,0.5230,64,34,65,4.79,0,0,1000,true
real,0,time@CISO,us,12,84,6,11722794.2752,127297.7534,1827898.4919,42576.8118,534.6606,7791.3599,1000,31514.00,371.986872,4.039403,58.002745,0,0.0000,0.000,2.578,0.4980,64,34,65,2.31,0,0,1000,true
real,0,time@ERCO,us,12,84,6,11730145.7813,134679.1877,1912487.7304,42576.8090,534.6607,7790.3450,1000,31514.00,372.220149,4.273630,60.686924,0,0.0000,0.000,2.465,0.5090,63,34,64,2.16,0,0,1000,true
real,0,time@ISNE,us,12,84,6,11721863.9317,126173.3485,1846743.7650,42576.8367,534.6606,7790.7717,1000,31514.00,371.957350,4.003724,58.600741,0,0.0000,0.000,2.493,0.4980,64,34,65,2.34,0,0,1000,true
real,0,time@NYISO,us,12,84,6,11715154.3039,119889.9759,1777480.9333,42576.8108,534.6607,7790.4591,1000,31514.00,371.744441,3.804340,56.402898,0,0.0000,0.000,2.555,0.5210,64,34,65,1.83,0,0,1000,true
real,0,time@PJM,us,12,84,6,11725836.0250,130243.2506,1881375.7984,42576.8105,534.6606,7790.6226,1000,31514.00,372.083392,4.132870,59.699683,0,0.0000,0.000,2.571,0.5160,64,34,65,1.73,0,0,1000,true
real,0,time@FPL,us,12,84,6,11728181.8173,132972.5471,1916297.4610,42576.8338,534.6606,7790.7801,1000,31514.00,372.157829,4.219475,60.807814,0,0.0000,0.000,2.548,0.5200,64,34,65,1.79,0,0,1000,true
real,0,round-robin,us,50,350,6,11750530.4478,153379.2548,2226500.3499,42576.8454,534.6610,7792.8181,1000,31514.00,372.866994,4.867020,70.651150,0,0.0000,0.000,0.000,0.1430,64,34,66,0.55,0,0,1000,true
real,0,space,us,50,350,6,11643929.3074,46862.9532,615305.3325,42580.3240,538.1206,6757.8697,1000,31514.00,369.484334,1.487052,19.524825,0,0.0000,0.000,0.000,0.9610,64,34,48,2.43,0,0,1000,true
real,0,space+time,us,50,350,6,15074391.8222,45625.5657,602720.8123,54238.0470,537.1931,6693.9057,1000,31514.00,478.339526,1.447787,19.125494,0,0.0000,0.000,3.271,0.9800,62,34,46,13.60,0,0,999,false
real,0,time@BPAT,us,50,350,6,15074453.9796,45637.7296,602982.2597,54238.0470,537.1931,6693.9934,1000,31514.00,478.341498,1.448173,19.133790,0,0.0000,0.000,3.213,0.9800,62,34,46,3.08,0,0,999,false
real,0,time@CISO,us,50,350,6,11743013.6630,149219.0630,1698418.6319,42582.0431,539.8377,6269.7470,1000,31514.00,372.628472,4.735009,53.894099,0,0.0000,0.000,3.504,0.9530,63,34,47,2.00,0,0,1000,true
real,0,time@ERCO,us,50,350,6,15332840.1132,164287.3543,1978322.1024,54730.8722,537.3584,6652.4561,1000,31514.00,486.540589,5.213155,62.775976,0,0.0000,0.000,3.227,0.9730,63,34,47,3.47,0,0,999,false
real,0,time@ISNE,us,50,350,6,11738761.5203,144174.1192,1685068.9864,42581.7761,539.5748,6521.6763,1000,31514.00,372.493543,4.574923,53.470489,0,0.0000,0.000,3.428,0.9720,64,34,48,3.03,0,0,1000,true
real,0,time@NYISO,us,50,350,6,11694539.2281,100417.1573,1188978.6557,42581.2677,539.0929,6570.8350,1000,31514.00,371.090285,3.186430,37.728586,0,0.0000,0.000,3.369,0.9730,63,34,47,3.02,0,0,1000,true
real,0,time@PJM,us,50,350,6,15365959.3429,164163.5368,1921010.5006,54844.6582,538.0150,6543.7883,1000,31514.00,487.591526,5.209226,60.957368,0,0.0000,0.000,3.435,0.9760,63,34,47,1.85,0,0,999,false
real,0,time@FPL,us,50,350,6,15323282.8600,171026.1737,2017948.8429,54676.4694,537.6956,6586.6864,1000,31514.00,486.237319,5.426990,64.033409,0,0.0000,0.000,3.348,0.9720,63,34,48,1.80,0,0,999,false
real,0,round-robin,us,12,84,48,11750995.5036,153850.7814,2228759.1583,42576.8464,534.6610,7792.7656,1000,31514.00,372.881751,4.881982,70.722827,0,0.0000,0.000,0.000,0.1440,64,34,66,0.26,0,0,1000,true
