trace_mode,start_hour,policy,region_set,per_region_cap,total_capacity,deadline_margin_h,total_gco2,dynamic_gco2,attributed_gco2,total_kwh,dynamic_kwh,attributed_kwh,requests,vm_hours,gco2_per_vm_hour,dynamic_gco2_per_vm_hour,attributed_gco2_per_vm_hour,deadline_violations,violation_rate,mean_overrun_h,mean_deferral_h,max_region_share,peak_concurrency,hosts_per_region,peak_active_hosts,plan_ms,misplaced_vms,uncreated_vms,cloudlets_finished,placement_valid
real,0,round-robin,us,8,56,6,11721592.8973,124504.1931,2024360.8939,42500.4774,458.3186,7468.8575,1000,30446.00,384.996154,4.089345,66.490209,269,0.2690,8.231,9.916,0.1540,56,34,62,42.54,0,0,1000,true
real,0,space,us,8,56,6,11714972.7519,117529.2806,1898791.1915,42500.4765,458.3182,7468.2898,1000,30446.00,384.778715,3.860254,62.365867,269,0.2690,8.231,9.916,0.3420,56,34,62,6.13,0,0,1000,true
real,0,space+time,us,8,56,6,11712049.2983,117064.9654,1882669.5776,42500.4822,458.3184,7468.9191,1000,30446.00,384.682694,3.845003,61.836352,281,0.2810,9.285,14.239,0.2930,56,34,64,9.48,0,0,1000,true
real,0,time@BPAT,us,8,56,6,11714634.5528,117536.1810,1897204.5944,42500.4734,458.3183,7468.3017,1000,30446.00,384.767607,3.860480,62.313755,278,0.2780,8.331,10.902,0.2460,56,34,64,3.65,0,0,1000,true
real,0,round-robin,us,12,84,6,11726945.5949,129589.1610,2117541.8241,42500.4773,458.3185,7470.1426,1000,30446.00,385.171963,4.256361,69.550740,0,0.0000,0.000,0.000,0.1440,74,34,76,0.84,0,0,1000,true
real,0,space,us,12,84,6,11692564.8994,95298.7610,1692247.5542,42500.4825,458.3181,7469.4232,1000,30446.00,384.042728,3.130091,55.581934,0,0.0000,0.000,0.000,0.5150,74,34,76,2.46,0,0,1000,true
real,0,space+time,us,12,84,6,11690500.1553,94421.4171,1666409.6408,42500.4812,458.3182,7469.8080,1000,30446.00,383.974911,3.101275,54.733286,0,0.0000,0.000,4.525,0.5390,71,34,75,11.74,0,0,1000,true
real,0,time@BPAT,us,12,84,6,11692883.0853,95538.2587,1679268.9429,42500.4750,458.3181,7468.8383,1000,30446.00,384.053179,3.137958,55.155651,0,0.0000,0.000,2.700,0.5390,70,34,73,1.79,0,0,1000,true
real,0,round-robin,us,20,140,6,11726041.3388,128520.7217,2052479.5579,42500.4773,458.3185,7470.0890,1000,30446.00,385.142263,4.221268,67.413767,0,0.0000,0.000,0.000,0.1430,74,34,76,0.53,0,0,1000,true
real,0,space,us,20,140,6,11670720.9779,73382.3939,1315321.0884,42500.4830,458.3183,7469.5485,1000,30446.00,383.325264,2.410247,43.201770,0,0.0000,0.000,0.000,0.7040,74,34,76,2.14,0,0,1000,true
